мне девятнадцать лет .	i m .
это был сарказм .	i m being sarcastic .
это сарказм .	i m being sarcastic .
я лучше, чем он .	i m better than him .
я лучше него .	i m better than him .
я лучше тебя .	i m better than you .
я лучше, чем ты .	i m better than you .
я лучше вас .	i m better than you .
я больше тебя .	i m bigger than you .
я слепой, а не глухой .	i m blind, not deaf .
в данный момент мне скучно .	i m bored right now .
мне это надоело .	i m bored with that .
я в этом уверен .	i m certain of that .
я замёрз и хочу есть .	i m cold and hungry .
я иду с тобой .	i m coming with you .
я пойду с тобой .	i m coming with you .
я пойду с вами .	i m coming with you .
я с тобой .	i m coming with you .
я с вами .	i m coming with you .
я иду с вами .	i m coming with you .
я на тебя рассчитываю .	i m counting on you .
я на тебя надеюсь .	i m counting on you .
я на вас рассчитываю .	i m counting on you .
я без ума от тебя .	i m crazy about you .
я делаю всё, что могу .	i m doing all i can .
я пью пиво .	i m drinking a beer .
я пьян прямо сейчас .	i m drunk right now .
умираю с голоду !	i m dying of hunger .
я ем банан .	i m eating a banana .
я ем яблоко .	i m eating an apple .
я обедаю .	i m eating my lunch .
я сейчас ем рис .	i m eating rice now .
мне чрезвычайно жаль .	i m extremely sorry .
глубочайше соболезную .	i m extremely sorry .
я быстрее тебя .	i m faster than you .
я быстрее вас .	i m faster than you .
она мне надоела .	i m fed up with her .
она меня достала .	i m fed up with her .
он меня достал .	i m fed up with him .
я сыта им по горло .	i m fed up with him .
я сыт им по горло .	i m fed up with him .
мне не по себе .	i m feeling nervous .
я нервничаю .	i m feeling nervous .
у меня всё хорошо, спасибо .	i m fine, thank you .
мне сорок лет .	i m forty years old .
я свободен до половины третьего .	i m free until .
я из будущего .	i m from the future .
я полностью поправился .	i m fully recovered .
я полностью пришёл в форму .	i m fully recovered .
мне становится интересно .	i m getting curious .
я одеваюсь .	i m getting dressed .
я начинаю нервничать .	i m getting nervous .
я начинаю раздражаться .	i m getting nervous .
я худею .	i m getting thinner .
я начинаю хотеть пить .	i m getting thirsty .
я начинаю волноваться .	i m getting worried .
я рад, что могу помочь .	i m glad i can help .
я рада, что могу помочь .	i m glad i can help .
я рад, что сделал это .	i m glad i did that .
я рада, что сделала это .	i m glad i did that .
я рад, что так сделал .	i m glad i did that .
я рада, что так сделала .	i m glad i did that .
я рад, что это был ты .	i m glad it was you .
я рад, что это была ты .	i m glad it was you .
я рад, что это были вы .	i m glad it was you .
я рад, что вернулся .	i m glad to be back .
я рад, что я дома .	i m glad to be home .
я рад это слышать .	i m glad to hear it .
рад это слышать .	i m glad to hear it .
рада это слышать .	i m glad to hear it .
я рада это слышать .	i m glad to hear it .
рада тебя видеть .	i m glad to see you .
я рад, что мы тебя увидели .	i m glad we saw you .
я рад, что ты позвонил .	i m glad you called .
я рад, что ты позвонила .	i m glad you called .
я рад, что ты подождал .	i m glad you waited .
я рад, что вы подождали .	i m glad you waited .
я рад, что вы подождали .	i m glad you waited .
я возвращаюсь домой .	i m going back home .
я иду туда сейчас .	i m going there now .
я еду в бостон .	i m going to boston .
я переоденусь .	i m going to change .
я стану другим .	i m going to change .
я изменюсь .	i m going to change .
я иду в церковь .	i m going to church .
пожалуй, я сейчас пойду .	i m going to go now .
я иду в школу .	i m going to school .
сейчас я закричу !	i m going to scream .
я хорошо готовлю .	i m good at cooking .
я хорошо пою .	i m good at singing .
я вам благодарен .	i m grateful to you .
я тебе благодарен .	i m grateful to you .
я отличный советчик .	i m great at advice .
я этим доволен .	i m happy with that .
я этим довольна .	i m happy with that .
я этим доволен .	i m happy with this .
у меня тут проблемы .	i m having problems .
я направляюсь в центр .	i m headed downtown .
я здесь на каникулах .	i m here on holiday .
я часто бываю в бостоне .	i m in boston a lot .
я сегодня в бостоне .	i m in boston today .
я в затруднительном положении .	i m in a tough spot .
я в своей квартире .	i m in my apartment .
я у себя в квартире .	i m in my apartment .
я в исподнем .	i m in my underwear .
я в нижнем белье .	i m in my underwear .
я на заднем дворе .	i m in the backyard .
я в подвале .	i m in the basement .
я в ванной .	i m in the bathroom .
я в больнице .	i m in the hospital .
я невероятно занят .	i m incredibly busy .
я перед вами в долгу .	i m indebted to you .
я перед тобой в долгу .	i m indebted to you .
я всего лишь начинающий .	i m just a beginner .
я всего лишь первокурсник .	i m just a freshman .
я просто любитель .	i m just an amateur .
я всего лишь развлекаюсь .	i m just having fun .
я просто не голоден .	i m just not hungry .
я опоздал к ужину .	i m late for dinner .
я опоздал на ужин .	i m late for dinner .
я над тобой смеюсь .	i m laughing at you .
я над вами смеюсь .	i m laughing at you .
я изучаю французский язык .	i m learning french .
я учу французский .	i m learning french .
я уезжаю в полтретьего .	i m leaving at .
я уезжаю полтретьего .	i m leaving at .
я уезжаю этой ночью .	i m leaving tonight .
я сегодня вечером уезжаю .	i m leaving tonight .
я живу своей мечтой .	i m living my dream .
я тебя ищу .	i m looking for you .
я вас ищу .	i m looking for you .
я вас ищу .	i m looking for you .
я теряю терпение .	i m losing patience .
мне повезло, что я жив .	i m lucky i m alive .
я пеку блины .	i m making pancakes .
я делаю успехи .	i m making progress .
теперь мне гораздо лучше .	i m much better now .
мне сейчас гораздо лучше .	i m much better now .
я почти закончил .	i m nearly finished .
я никогда не удовлетворён .	i m never satisfied .
я тут новенький .	i m new around here .
я в искусстве не судья .	i m no judge of art .
мне уже не скучно .	i m no longer bored .
я не варвар .	i m not a barbarian .
я не бармен .	i m not a bartender .
я нисколько не сержусь .	i m not a bit angry .
я нисколько не устал .	i m not a bit tired .
я не знаменитость .	i m not a celebrity .
я не иностранка .	i m not a foreigner .
я не иностранец .	i m not a foreigner .
я не очень хорошо готовлю .	i m not a good cook .
повар из меня неважный .	i m not a good cook .
я не умею врать .	i m not a good liar .
я не ханжа .	i m not a hypocrite .
я не лицемер .	i m not a hypocrite .
я не полицейский .	i m not a policeman .
я не учёный .	i m not a scientist .
я не террорист .	i m not a terrorist .
во мне нет авантюризма .	i m not adventurous .
я не всегда здесь .	i m not always here .
я не американец .	i m not an american .
я не американка .	i m not an american .
я не инженер .	i m not an engineer .
я не извиняюсь .	i m not apologizing .
я вовсе не занят .	i m not at all busy .
я сейчас не дома .	i m not at home now .
я не отказываюсь от своих слов .	i m not backing out .
я не отступаюсь .	i m not backing out .
я не жесток .	i m not being cruel .
я тебя не виню .	i m not blaming you .
я совсем не занят .	i m not busy at all .
я тоже не занят .	i m not busy either .
я тоже не занята .	i m not busy either .
я не праздную .	i m not celebrating .
мне совсем не холодно .	i m not cold at all .
мне неуютно .	i m not comfortable .
я не вернусь .	i m not coming back .
я не иду домой .	i m not coming home .
я не встречаюсь с мэри .	i m not dating mary .
я не спорю .	i m not disagreeing .
я не говорю нет .	i m not disagreeing .
я ещё не оделась .	i m not dressed yet .
я это не ем .	i m not eating that .
я такого не ем .	i m not eating this .
я это есть не буду .	i m not eating this .
я не смущён .	i m not embarrassed .
я не из бостона .	i m not from boston .
я не собираюсь идти один .	i m not going alone .
я не собираюсь идти одна .	i m not going alone .
я не собираюсь идти .	i m not going to go .
я не собираюсь ехать .	i m not going to go .
у меня ничего не болит .	i m not in any pain .
я не в настроении .	i m not in the mood .
я не вмешиваюсь .	i m not interfering .
я не запуган .	i m not intimidated .
я не шучу .	i m not kidding you .
я больше не злюсь .	i m not mad anymore .
я ещё не замужем .	i m not married yet .
я ещё не женат .	i m not married yet .
меня нет в списке .	i m not on the list .
я не из их числа .	i m not one of them .
я к ним не принадлежу .	i m not one of them .
я не один из них .	i m not one of them .
я не пессимист .	i m not pessimistic .
я этим не горжусь .	i m not proud of it .
я не вполне готов .	i m not quite ready .
я, в общем то, не занят .	i m not really busy .
я не совсем уверен .	i m not really sure .
я недостаточно богат .	i m not rich enough .
я этого не говорю .	i m not saying that .
сейчас я не так уверен .	i m not so sure now .
сейчас я не так уверена .	i m not so sure now .
я не занимаюсь спекуляцией .	i m not speculating .
я не так уж и голоден .	i m not that hungry .
я не так уж и голодна .	i m not that hungry .
я не настолько голодна .	i m not that hungry .
я не настолько наивен .	i m not that na ve .
я не настолько наивна .	i m not that na ve .
я не настолько глуп !	i m not that stupid !
я не настолько глупа !	i m not that stupid !
я не настолько глуп !	i m not that stupid .
я не настолько глупа !	i m not that stupid .
я не менеджер .	i m not the manager .
проблема не во мне .	i m not the problem .
я не очень голоден .	i m not very hungry .
я не очень голодный .	i m not very hungry .
я не очень голодная .	i m not very hungry .
я не очень голодна .	i m not very hungry .
я не такой, каким кажусь .	i m not what i seem .
я не твой отец .	i m not your father .
я тебе не отец .	i m not your father .
я не твой друг .	i m not your friend .
я не твой приятель .	i m not your friend .
я не твоя подруга .	i m not your friend .
я не твоя приятельница .	i m not your friend .
я тебе не друг .	i m not your friend .
я не твоя мать .	i m not your mother .
я тебе не мать .	i m not your mother .
я вынужден ждать .	i m obliged to wait .
сегодня вечером я на дежурстве .	i m on duty tonight .
я еду туда .	i m on my way there .
я иду домой .	i m on the way home .
я ещё новичок .	i m only a freshman .
я ещё учусь .	i m only a freshman .
моё терпение иссякло .	i m out of patience .
у меня кончилось терпение .	i m out of patience .
я сейчас без работы .	i m out of work now .
я совершенно счастлив .	i m perfectly happy .
я совершенно счастлива .	i m perfectly happy .
я занимаюсь дзюдо .	i m practicing judo .
я занимаюсь дзюдо .	i m practising judo .
я практикую дзюдо .	i m practising judo .
я готов умереть .	i m prepared to die .
я горжусь своим отцом .	i m proud of my dad .
я горжусь своим сыном .	i m proud of my son .
я горжусь собой .	i m proud of myself .
теперь я вполне счастлив .	i m quite happy now .
я ухожу с работы .	i m quitting my job .
я готов слушать .	i m ready to listen .
я правда запутался .	i m really confused .
я искренне благодарен .	i m really grateful .
душевно признательна .	i m really grateful .
я правда не уверен .	i m really not sure .
я даю глазам отдохнуть .	i m resting my eyes .
я богаче тебя .	i m richer than you .
я прав, не так ли ?	i m right, aren t i ?
я болею за вас .	i m rooting for you .
я грущу без тебя .	i m sad without you .
мне без тебя грустно .	i m sad without you .
я напуган до смерти .	i m scared to death .
я кого то вижу .	i m seeing somebody .
я продаю свою лодку .	i m selling my boat .
у меня одышка .	i m short of breath .
мне надоел английский .	i m sick of english .
мне надоело ждать .	i m sick of waiting .
я слегка голоден .	i m slightly hungry .
я так горжусь тобой .	i m so proud of you .
я так вами горжусь .	i m so proud of you .
я так тобой горжусь .	i m so proud of you .
мне так это надоело .	i m so sick of this .
извините, что вышел из себя .	i m sorry i got mad .
прости . я забыл .	i m sorry . i forgot .
прости . я забыла .	i m sorry . i forgot .
я всё ещё студент .	i m still a student .
я ещё в школе .	i m still at school .
я ещё в школе .	i m still in school .
я ещё не готов .	i m still not ready .
я ещё не готова .	i m still not ready .
я всё ещё настроен скептично .	i m still skeptical .
я всё ещё твой начальник .	i m still your boss .
я всё ещё ваш начальник .	i m still your boss .
я всё ещё ваш начальник .	i m still your boss .
я застрял в бостоне .	i m stuck in boston .
я завяз в работе .	i m stuck in my job .
я завязла в работе .	i m stuck in my job .
я учу французский .	i m studying french .
я занимаюсь французским .	i m studying french .
я уверен, что могу помочь .	i m sure i can help .
я уверен, что смогу помочь .	i m sure i can help .
я уверен в этом .	i m sure about that .
насчёт этого я уверен .	i m sure about this .
я уверен, что он жив .	i m sure he s alive .
я уверен, что это пройдёт .	i m sure it ll pass .
я беру книгу .	i m taking the book .
я беру этот .	i m taking this one .
я беру эту .	i m taking this one .
я беру это .	i m taking this one .
я выше него .	i m taller than him .
я выше тебя .	i m taller than you .
я преподаю баскский язык .	i m teaching basque .
я ужасно голоден .	i m terribly hungry .
жрать хочу .	i m terribly hungry .
я новый менеджер .	i m the new manager .
я думаю о тебе .	i m thinking of you .
бостон мне надоел .	i m tired of boston .
я устал проигрывать .	i m tired of losing .
я устала проигрывать .	i m tired of losing .
мне надоело проигрывать .	i m tired of losing .
я слишком стар для нее .	i m too old for her .
я для неё слишком старый .	i m too old for her .
я для вас слишком старый .	i m too old for you .
я для вас слишком старая .	i m too old for you .
я для тебя слишком старый .	i m too old for you .
я для тебя слишком старая .	i m too old for you .
я совершенно серьёзен .	i m totally serious .
я выслеживаю оленя .	i m tracking a buck .
я путешествую один .	i m traveling alone .
я путешествую в одиночку .	i m traveling alone .
я путешествую налегке .	i m traveling light .
я по настоящему впечатлён .	i m truly impressed .
я пытаюсь уснуть .	i m trying to sleep .
я не могу этого сделать .	i m unable to do it .
я привык ждать .	i m used to waiting .
сегодня я очень занят .	i m very busy today .
я сегодня очень занят .	i m very busy today .
я сегодня очень занята .	i m very busy today .
я очень напуган .	i m very frightened .
я здесь очень счастлив .	i m very happy here .
я сейчас очень голоден .	i m very hungry now .
я настроен очень оптимистично .	i m very optimistic .
я очень сонный сейчас .	i m very sleepy now .
я сейчас очень спать хочу .	i m very sleepy now .
я очень успешный .	i m very successful .
я жду её .	i m waiting for her .
я её жду .	i m waiting for her .
я жду его .	i m waiting for him .
я его жду .	i m waiting for him .
я жду тебя .	i m waiting for you .
я жду вас .	i m waiting for you .
я вас жду .	i m waiting for you .
я стою в очереди .	i m waiting in line .
я жду своей очереди .	i m waiting my turn .
я мою машину .	i m washing the car .
я теряю время .	i m wasting my time .
я зря трачу своё время .	i m wasting my time .
я сейчас смотрю телевизор .	i m watching tv now .
я смотрю теннис .	i m watching tennis .
я работаю над этим .	i m working on that .
я пишу роман .	i m writing a novel .
я пишу завещание .	i m writing my will .
я твоя совесть .	i m your conscience .
я ваш новый адвокат .	i m your new lawyer .
она плохой человек .	she is a bad person .
она болтунья .	she is a chatterbox .
она сова .	she is a late riser .
она любит поспать по утрам .	she is a late riser .
она немного застенчивая .	she is a little shy .
она немного застенчива .	she is a little shy .
она всего лишь ребёнок .	she is a mere child .
она со мной примерно одного возраста .	she is about my age .
она примерно моего возраста .	she is about my age .
мы с ней примерно ровесники .	she is about my age .
мы с ней примерно ровесницы .	she is about my age .
она уже вернулась .	she is already back .
она темнокожая .	she is dark skinned .
она строга к ним .	she is hard on them .
она всего лишь ребёнок .	she is just a child .
она всего навсего ребёнок .	she is just a child .
её ещё нет .	she is not here yet .
её ждёт казнь .	she is on death row .
она всего лишь ребёнок .	she is only a child .
она ещё девушка .	she is still a girl .
она ещё девочка .	she is still a girl .
она села рядом с ним .	she sat next to him .
она сидела рядом с ним .	she sat next to him .
она сидела на скамейке .	she sat on the bank .
она редко выходит из дому .	she seldom goes out .
она редко выходит на улицу .	she seldom goes out .
она побрила голову .	she shaved her head .
она бреет ноги .	she shaves her legs .
она очень хорошо поёт .	she sings very well .
она слишком много говорит .	she speaks too much .
она всё ещё любила его .	she still loved him .
она всё ещё его любит .	she still loves him .
она всё ещё любит его .	she still loves him .
она до сих пор его любит .	she still loves him .
она бросила курить .	she stopped smoking .
она замолчала .	she stopped talking .
она изучает английский язык .	she studies english .
она изучает английский .	she studies english .
она блондинка .	she s a blonde girl .
она глупая блондинка .	she s a dumb blonde .
она хорошо целуется .	she s a good kisser .
она хороший человек .	she s a good person .
она добрый человек .	she s a kind person .
она современная девушка .	she s a modern girl .
она настоящая сплетница .	she s a real gossip .
она суровая женщина .	she s a tough woman .
она ещё и красавица .	she s also a beauty .
она единственный ребёнок .	she s an only child .
её отравили .	she s been poisoned .
она стареет .	she s getting older .
она становится старше .	she s getting older .
она меня убьет .	she s gonna kill me .
она в плохом настроении .	she s in a bad mood .
у неё плохое настроение .	she s in a bad mood .
она в дурном настроении .	she s in a bad mood .
она моя первая любовь .	she s my first love .
это не моя сестра .	she s not my sister .
она мне не сестра .	she s not my sister .
она не бедствует .	she s not penniless .
она не безденежная .	she s not penniless .
она неразговорчива .	she s not talkative .
она волевая .	she s strong willed .
она в шляпе .	she s wearing a hat .
на ней шляпа .	she s wearing a hat .
они христиане .	they are christians .
они христианки .	they are christians .
они мешают пройти .	they are in the way .
они не дают пройти .	they are in the way .
они не дают проехать .	they are in the way .
они мои двоюродные братья .	they are my cousins .
они мои двоюродные сёстры .	they are my cousins .
они мои двоюродные брат и сестра .	they are my cousins .
они мои двоюродные братья и сёстры .	they are my cousins .
они мои сёстры .	they are my sisters .
они являются моими сёстрами .	they are my sisters .
они приходятся мне сёстрами .	they are my sisters .
они наши гости .	they are our guests .
на них нельзя положиться .	they are unreliable .
они не врачи .	they aren t doctors .
они не такие, как мы .	they aren t like us .
они не родственники .	they aren t related .
они хорошая команда .	they re a good team .
все они воры .	they re all thieves .
они все ждут .	they re all waiting .
они почти закончили .	they re almost done .
они почти здесь .	they re almost here .
они возвращаются .	they re coming back .
они идут сюда .	they re coming here .
они идут домой .	they re coming home .
они беззащитны .	they re defenseless .
они сходят с ума .	they re going crazy .
у них едет крыша .	they re going crazy .
они хорошие люди .	they re good people .
они здесь ради меня .	they re here for me .
они игнорируют меня .	they re ignoring me .
они игнорируют нас .	they re ignoring us .
они не обращают на нас внимания .	they re ignoring us .
они нас игнорируют .	they re ignoring us .
они неразлучны .	they re inseparable .
они интересные .	they re interesting .
они как семья .	they re like family .
они нам лгут .	they re lying to us .
они нам врут .	they re lying to us .
они удаляются .	they re moving away .
они быстро двигаются .	they re moving fast .
они вечно недовольны .	they re never happy .
их там никогда нет .	they re never there .
их там никогда не бывает .	they re never there .
они приятные люди .	they re nice people .
они обычные дети .	they re normal kids .
они нормальные дети .	they re normal kids .
они не врачи .	they re not doctors .
они не в восторге .	they re not excited .
они не запрещены законом .	they re not illegal .
они не такие, как мы .	they re not like us .
они не смотрят .	they re not looking .
они не родственники .	they re not related .
они не разговаривают .	they re not talking .
они старые друзья .	they re old friends .
они наши клиенты .	they re our clients .
они наши друзья .	they re our friends .
их нет в городе .	they re out of town .
они платят за аренду .	they re paying rent .
они довольно хорошие .	they re pretty good .
они ведут себя довольно громко .	they re pretty loud .
они довольно шумные .	they re pretty loud .
они мной гордятся .	they re proud of me .
они всё ещё живы .	they re still alive .
они ещё живы .	they re still alive .
они до сих пор живы .	they re still alive .
они ещё молоды .	they re still young .
они ещё молодые .	they re still young .
они там одни .	they re there alone .
они там в одиночестве .	they re there alone .
сейчас они бесполезны .	they re useless now .
они вегетарианцы .	they re vegetarians .
они вегетарианки .	they re vegetarians .
они очень полезны .	they re very useful .
они наблюдают за мной .	they re watching me .
они за мной наблюдают .	they re watching me .
мы все рождены сумасшедшими .	we are all born mad .
мы почти добрались .	we are almost there .
мы почти приехали .	we are almost there .
мы почти доехали .	we are almost there .
мы наконец свободны .	we are finally free .
наконец то мы свободны .	we are finally free .
мы добрые друзья .	we are good friends .
мы хорошие друзья .	we are good friends .
мы хорошие подруги .	we are good friends .
мы обедаем .	we are having lunch .
у нас обед .	we are having lunch .
мы его дети .	we are his children .
мы в библиотеке .	we are in a library .
мы просто друзья .	we are just friends .
мы очень похожи .	we are very similar .
мы ваши друзья .	we are your friends .
мы твои друзья .	we are your friends .
мы не канадцы .	we aren t canadians .
мы не канадки .	we aren t canadians .
мы не такие .	we aren t like that .
мы не настолько бедные .	we aren t that poor .
мы не такие бедные .	we aren t that poor .
мы немного опоздали .	we re a little late .
мы все канадцы .	we re all canadians .
все мы канадцы .	we re all canadians .
мы все разные .	we re all different .
мы все под впечатлением .	we re all impressed .
мы все заключённые .	we re all prisoners .
мы здесь все профи .	we re all pros here .
с нами теперь всё в порядке .	we re all right now .
мы все налогоплательщики .	we re all taxpayers .
мы все свидетели .	we re all witnesses .
мы всегда хотим есть .	we re always hungry .
мы всегда голодные .	we re always hungry .
мы среди друзей .	we re among friends .
мы сегодня дома .	we re at home today .
мы в курсе этого .	we re aware of that .
мы снова вместе .	we re back together .
мы оба студенты .	we re both students .
мы обе студентки .	we re both students .
мы оба учителя .	we re both teachers .
мы кардиологи .	we re cardiologists .
мы близкие друзья .	we re close friends .
мы закрываемся рано .	we re closing early .
мы идём внутрь .	we re coming inside .
мы ничего не делаем .	we re doing nothing .
мы ничем не занимаемся .	we re doing nothing .
мы едим яблоки .	we re eating apples .
мы чувствуем себя отлично .	we re feeling great .
наконец то мы одни .	we re finally alone .
мы наконец одни .	we re finally alone .
мы здесь закончили .	we re finished here .
мы идём на охоту .	we re going hunting .
мы будем помогать .	we re going to help .
мы проиграем .	we re going to lose .
мы собираемся остаться .	we re going to stay .
мы ужинаем .	we re having dinner .
мы сейчас в бостоне .	we re in boston now .
в данный момент мы находимся в бостоне .	we re in boston now .
мы в хороших руках .	we re in good hands .
мы в хорошей форме .	we re in good shape .
мы в саду .	we re in the garden .
мы просто дети .	we re just children .
мы просто студенты .	we re just students .
мы всего лишь студенты .	we re just students .
мы как братья .	we re like brothers .
мы не преступники .	we re not criminals .
мы не сдаёмся .	we re not giving up .
мы не в бостоне .	we re not in boston .
нас нет в бостоне .	we re not in boston .
мы не в опасности .	we re not in danger .
мы не такие .	we re not like that .
мы не слушаем .	we re not listening .
мы не заключенные .	we re not prisoners .
мы ещё не готовы .	we re not ready yet .
здесь мы не в безопасности .	we re not safe here .
мы здесь не в безопасности .	we re not safe here .
мы не чужаки .	we re not strangers .
мы не иностранцы .	we re not strangers .
мы не удивлены .	we re not surprised .
мы ещё не доехали .	we re not yet there .
мы ещё не дошли .	we re not yet there .
мы должны придерживаться графика .	we re on a schedule .
у нас закончилось сливочное масло .	we re out of butter .
у нас масло закончилось .	we re out of butter .
мы остались без кофе .	we re out of coffee .
у нас закончился кофе .	we re out of coffee .
у нас кончилось кофе .	we re out of coffee .
у нас кофе закончился .	we re out of coffee .
мы вне опасности .	we re out of danger .
мы играем в карты .	we re playing cards .
мы этим гордимся .	we re proud of that .
мы готовы помочь .	we re ready to help .
мы готовы играть .	we re ready to play .
у нас мало времени .	we re short on time .
мы до сих пор дружим .	we re still friends .
мы всё ещё ищем .	we re still looking .
мы все еще женаты .	we re still married .
мы пока женаты .	we re still married .
мы всё ещё работаем .	we re still working .
мы искушаем судьбу .	we re tempting fate .
мы чемпионы .	we re the champions .
у нас один размер .	we re the same size .
у нас один и тот же размер .	we re the same size .
мы от этого устали .	we re tired of this .
мы искренне обеспокоены .	we re truly worried .
у нас нет воображения .	we re unimaginative .
мы очень гибкие .	we re very flexible .
мы весьма благодарны .	we re very grateful .
мы очень признательны .	we re very grateful .
мы очень благодарны .	we re very grateful .
мы напрасно тратим воду .	we re wasting water .
мы над ним работаем .	we re working on it .
мы над ней работаем .	we re working on it .
вы хороший повар .	you are a good cook .
ты хорошо готовишь .	you are a good cook .
вы всегда опаздываете .	you are always late .
ты всегда опаздываешь .	you are always late .
вечно ты опаздываешь .	you are always late .
вечно вы опаздываете .	you are always late .
опять ты за своё .	you are at it again .
ты лжёшь мне .	you are lying to me .
вы лжёте мне .	you are lying to me .
ты мне врёшь .	you are lying to me .
вы мне врёте .	you are lying to me .
ты моя дочь .	you are my daughter .
вы моя дочь .	you are my daughter .
ты мой пленник .	you are my prisoner .
вы мой пленник .	you are my prisoner .
ты моя пленница .	you are my prisoner .
вы моя пленница .	you are my prisoner .
вы идёте не в ногу .	you are out of step .
ты настоящий мужик .	you are quite a man .
вы совершенно правы .	you are quite right .
ты совершенно права .	you are quite right .
ты такой врун !	you are such a liar !
ты такой врун !	you are such a liar .
ты не канадец .	you aren t canadian .
вы не канадец .	you aren t canadian .
ты не канадка .	you aren t canadian .
вы не канадка .	you aren t canadian .
вы не канадцы .	you aren t canadian .
вы не канадки .	you aren t canadian .
вы не думаете .	you aren t thinking .
ты не думаешь .	you aren t thinking .
ты сам не свой .	you aren t yourself .
ты сама не своя .	you aren t yourself .
вы сам не свой .	you aren t yourself .
вы сама не своя .	you aren t yourself .
ты плохой отец .	you re a bad father .
ты умный мальчик .	you re a bright boy .
у тебя светлая голова, парень .	you re a bright boy .
ты теперь отец .	you re a father now .
ты забавная девчонка .	you re a funny girl .
ты прикольная девчонка .	you re a funny girl .
ты хороший актёр .	you re a good actor .
вы хороший актёр .	you re a good actor .
ты очень помогаешь .	you re a great help .
вы очень помогаете .	you re a great help .
ты здесь гость .	you re a guest here .
вы здесь гость .	you re a guest here .
ты добрая женщина .	you re a kind woman .
вы добрая женщина .	you re a kind woman .
ты спаситель .	you re a life saver .
вы спаситель .	you re a life saver .
ты тоже неудачник .	you re a loser, too .
вы тоже неудачник .	you re a loser, too .
ты часть меня .	you re a part of me .
вы часть меня .	you re a part of me .
вы трудоголик .	you re a workaholic .
ты странно себя ведёшь .	you re acting weird .
вы странно себя ведёте .	you re acting weird .
ты всё, что у меня есть .	you re all i ve got .
вы всё, что у меня есть .	you re all i ve got .
вы все взрослые .	you re all grown up .
вы все взрослые люди .	you re all grown up .
ты почти прав .	you re almost right .
вы почти правы .	you re almost right .
ты вечно пьян .	you re always drunk .
ты всегда счастлив .	you re always happy .
ты всегда права .	you re always right .
ты всегда прав .	you re always right .
вы всегда правы .	you re always right .
ты всегда усталый .	you re always tired .
ты всегда не прав .	you re always wrong .
вы всегда не правы .	you re always wrong .
ты теперь взрослый .	you re an adult now .
ты теперь взрослая .	you re an adult now .
вы ужасная свинья .	you re an awful hog .
ты опоздал на час .	you re an hour late .
вы опоздали на час .	you re an hour late .
ты поступаешь тупо .	you re being a fool .
тебе звонят .	you re being called .
вам звонят .	you re being called .
тебя зовут .	you re being called .
вас зовут .	you re being called .
на вас охотятся .	you re being hunted .
на тебя охотятся .	you re being hunted .
ты скромничаешь .	you re being modest .
ты несправедлив .	you re being unfair .
вы несправедливы .	you re being unfair .
ты мне мешаешь .	you re bothering me .
вы мне мешаете .	you re bothering me .
ты нам мешаешь .	you re bothering us .
вы нам мешаете .	you re bothering us .
ты консервативный .	you re conservative .
ты консервативная .	you re conservative .
вы консервативный .	you re conservative .
вы консервативная .	you re conservative .
вы консервативные .	you re conservative .
ты консерватор .	you re conservative .
вы консерватор .	you re conservative .
ты неорганизованный .	you re disorganized .
ты делаешь успехи .	you re going places .
ты теперь взрослый .	you re grown up now .
вы теперь взрослые .	you re grown up now .
ты в плохой форме .	you re in bad shape .
вам ничего не угрожает .	you re in no danger .
вы непоследовательны .	you re inconsistent .
ты непоследователен .	you re inconsistent .
вы неисправимы .	you re incorrigible .
ты неисправим .	you re incorrigible .
ты неисправима .	you re incorrigible .
вы неисправимая .	you re incorrigible .
ты невыносим .	you re insufferable .
ты невыносима .	you re insufferable .
вы невыносимы .	you re insufferable .
ты неотразим .	you re irresistible .
ты неотразима .	you re irresistible .
вы неотразимы .	you re irresistible .
вы просто трусы .	you re just cowards .
ты просто завидуешь .	you re just envious .
вы просто завидуете .	you re just envious .
вы как раз вовремя .	you re just in time .
ты просто завидуешь .	you re just jealous .
вы просто завидуете .	you re just jealous .
ты прямо как я .	you re just like me .
ты совсем как я .	you re just like me .
ты просто нервничаешь .	you re just nervous .
вы как раз вовремя .	you re just on time .
ты местный, не так ли ?	you re local, right ?
хорошо выглядишь .	you re looking well .
хорошо выглядите .	you re looking well .
тобой легко манипулировать .	you re manipulative .
вами легко манипулировать .	you re manipulative .
ты не канадец .	you re not canadian .
вы не канадец .	you re not canadian .
ты не канадка .	you re not canadian .
вы не канадка .	you re not canadian .
вы не канадцы .	you re not canadian .
вы не канадки .	you re not canadian .
ты не врач .	you re not a doctor .
ты не дурак .	you re not an idiot .
вы не дурак .	you re not an idiot .
у тебя не течёт кровь .	you re not bleeding .
у вас не течёт кровь .	you re not bleeding .
ты не истекаешь кровью .	you re not bleeding .
вы не истекаете кровью .	you re not bleeding .
ты ещё не умер .	you re not dead yet .
вы ещё не умерли .	you re not dead yet .
ты ещё не умерла .	you re not dead yet .
тебя ещё не замочили .	you re not done yet .
ты не смеёшься .	you re not laughing .
вы не смеётесь .	you re not laughing .
вы не такие старые .	you re not that old .
вы не такой старый .	you re not that old .
вы не такая старая .	you re not that old .
ты не такой старый .	you re not that old .
ты не такая старая .	you re not that old .
ты не настолько старый .	you re not that old .
ты не настолько старая .	you re not that old .
вы не настолько старый .	you re not that old .
вы не настолько старая .	you re not that old .
вы не настолько старые .	you re not that old .
